epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3447.57,0.18421,0.13402,0.77633,0.95249,0.99393,0.98549,0.94308,0.29114,0.19364,0.80153,0.000198125,0.000198125,0.000198125
87,3486.83,0.18579,0.13565,0.77209,0.95435,0.992,0.98522,0.93108,0.2939,0.19886,0.80075,0.00018575,0.00018575,0.00018575
88,3526.05,0.1858,0.13369,0.78497,0.9559,0.99406,0.98789,0.93128,0.29371,0.19707,0.80313,0.000173375,0.000173375,0.000173375
89,3565.14,0.1885,0.13152,0.7785,0.95557,0.99471,0.98762,0.9468,0.2959,0.19483,0.80268,0.000161,0.000161,0.000161
90,3604.59,0.18227,0.13198,0.77271,0.95525,0.99308,0.99007,0.93261,0.28806,0.19315,0.80264,0.000148625,0.000148625,0.000148625
91,3670.84,0.17632,0.1294,0.77845,0.95544,0.99037,0.99061,0.95932,0.28509,0.19845,0.80147,0.00013625,0.00013625,0.00013625
92,3708.24,0.17811,0.12824,0.78037,0.95538,0.9922,0.99009,0.95948,0.28544,0.20254,0.80323,0.000123875,0.000123875,0.000123875
93,3746.03,0.17531,0.12915,0.7833,0.95617,0.99207,0.99007,0.96275,0.28726,0.19876,0.80016,0.0001115,0.0001115,0.0001115
94,3784.22,0.17888,0.1307,0.77908,0.95398,0.99254,0.98764,0.93712,0.28246,0.20094,0.79915,9.9125e-05,9.9125e-05,9.9125e-05
95,3823.51,0.17484,0.12769,0.78336,0.95007,0.98971,0.98768,0.93716,0.28066,0.20151,0.80184,8.675e-05,8.675e-05,8.675e-05
96,3862.23,0.16625,0.12276,0.76964,0.9523,0.9907,0.98753,0.95816,0.28126,0.19306,0.80033,7.4375e-05,7.4375e-05,7.4375e-05
97,3902.48,0.17315,0.1245,0.78076,0.95415,0.99058,0.98772,0.95609,0.28263,0.19106,0.79988,6.2e-05,6.2e-05,6.2e-05
98,3942.01,0.17295,0.12493,0.78167,0.95472,0.99027,0.98761,0.93433,0.28376,0.19019,0.8015,4.9625e-05,4.9625e-05,4.9625e-05
99,3981.52,0.16703,0.12212,0.77734,0.95535,0.99029,0.98759,0.93404,0.2821,0.18703,0.80107,3.725e-05,3.725e-05,3.725e-05
100,4021,0.16377,0.1224,0.78599,0.95579,0.99079,0.98774,0.94282,0.28079,0.18456,0.80194,2.4875e-05,2.4875e-05,2.4875e-05
